sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
13.wasm,13.wasm,--alias --memory --collatz,alias_memory_collatz_efc7abb6,7.671206,70111,237688,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,20.55,,47,50,12,4574,yes,yes,yes,0,no,,
13.wasm,13.wasm,--alias --memory --cf,alias_memory_cf_a6e12b2e,1.33652,70111,89486,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,82.87,,47,49,12,136,yes,yes,yes,0,no,,
13.wasm,13.wasm,--alias --memory --ca,alias_memory_ca_24b45151,7.693441,70111,237723,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,20.55,,47,50,12,4574,yes,yes,yes,0,no,,
13.wasm,13.wasm,--name --memory --collatz,name_memory_collatz_9cee7b8e,1.284644,70111,89120,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,83.11,,47,49,12,14,yes,yes,yes,0,no,,
13.wasm,13.wasm,--name --memory --cf,name_memory_cf_a4dcadf2,1.272539,70111,89100,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,83.11,,47,49,12,14,yes,yes,yes,0,no,,
13.wasm,13.wasm,--name --memory --ca,name_memory_ca_c132a4d5,1.270967,70111,89112,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,83.11,,47,49,12,14,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --collatz,flatten_alias_collatz_e7616281,54.888865,70111,1475184,3,48014,6,6,ok,ok,no_entry,no_entry,,,yes,yes,1.35,,47,49,12,48023,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --name --cf,flatten_alias_name_cf_f3b8ba82,1.31547,70111,125640,3,1182,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.3,,47,48,12,1191,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --name --ca,flatten_alias_name_ca_e5d43e9a,7.337389,70111,240347,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,11.61,,47,48,12,4572,yes,yes,yes,0,no,,
5.wasm,5.wasm,--flatten --alias --collatz,flatten_alias_collatz_d2bb8a87,210.919011,77572,2501642,6,78606,10,10,ok,ok,no_entry,no_entry,,,yes,yes,0.75,,80,82,22,78622,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --memory --cf,flatten_alias_memory_cf_c9cd28b4,1.984003,70111,144676,3,1182,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.82,,47,50,12,1193,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --memory --ca,flatten_alias_memory_ca_640bc64e,8.663979,70111,259294,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,11.56,,47,50,12,4574,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --name --memory --collatz,flatten_name_memory_collatz_473aa8af,1.880048,70111,141099,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.39,,47,50,12,14,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --name --memory --cf,flatten_name_memory_cf_5fb52cda,1.891672,70111,141040,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.85,,47,50,12,14,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --name --memory --ca,flatten_name_memory_ca_b5c90084,1.641673,70111,110725,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,29.18,,47,49,12,14,yes,yes,yes,0,no,,
13.wasm,13.wasm,--alias --name --memory --collatz,alias_name_memory_collatz_a1f67cf4,7.734017,70111,237661,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,20.54,,47,50,12,4574,yes,yes,yes,0,no,,
13.wasm,13.wasm,--alias --name --memory --cf,alias_name_memory_cf_3bbef693,1.349451,70111,89505,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,82.85,,47,49,12,136,yes,yes,yes,0,no,,
13.wasm,13.wasm,--alias --name --memory --ca,alias_name_memory_ca_da62179c,7.704353,70111,237714,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,20.54,,47,50,12,4574,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --name --collatz,flatten_alias_name_collatz_fcbd4092,55.067928,70111,1475170,3,48014,6,6,ok,ok,no_entry,no_entry,,,yes,yes,1.35,,47,49,12,48023,yes,yes,yes,0,no,,
13.wasm,13.wasm,--flatten --alias --name --memory --cf,flatten_alias_name_memory_cf_5f2833b0,1.986773,70111,144675,3,1182,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.7,,47,50,12,1193,yes,yes,yes,0,no,,
