sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
1b-1-1-1-0-dc-1-0-1.wasm,nameOB/1b-1-1-1-0-dc-1-0-1.wasm,constant_value_transformation,mut19,26208,32845,13,13,4,4,4322.53,yes,yes,77.4,ok,399.23,err,yes,yes,85.64,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-1-2-0-0-dc-2-0-2.wasm,nameOB/1b-1-2-0-0-dc-2-0-2.wasm,offset_expansion,mut16,26222,28836,13,13,4,4,4705.9,yes,yes,76.09,ok,292.01,err,yes,yes,90.0,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
gcd.wasm,nameOB/gcd.wasm,add_sub_transformation,mut13,26610,25805,13,13,4,4,4139.61,yes,yes,70.75,ok,322.95,err,yes,yes,99.4,100.0,64,1,76,76,yes,no,no,1,yes,,file_not_found
gcdrec.wasm,nameOB/gcdrec.wasm,function_sig_insertion,mut0,26459,26918,13,13,4,4,3591.82,yes,yes,77.46,ok,369.41,err,yes,yes,98.51,100.0,61,1,73,73,yes,no,no,1,yes,,file_not_found
1b-1-1-1-0-dc-0-0-0.wasm,nameOB/1b-1-1-1-0-dc-0-0-0.wasm,function_insertion,mut2,26022,69541,13,13,4,4,4080.24,yes,yes,68.19,ok,392.7,err,yes,yes,49.49,100.0,60,1,72,172,yes,no,no,1,yes,,file_not_found
1b-4-2-0-0-dc-2-2-0.wasm,nameOB/1b-4-2-0-0-dc-2-2-0.wasm,export_insertion,mut6,26158,28653,13,13,4,4,4571.51,yes,yes,68.71,ok,347.32,err,yes,yes,98.9,100.0,60,101,72,72,yes,no,no,1,yes,,file_not_found
prime.wasm,nameOB/prime.wasm,offset_expansion,mut16,26541,29151,13,13,4,4,4928.26,yes,yes,76.4,ok,344.22,err,yes,yes,90.03,100.0,64,1,76,76,yes,no,no,1,yes,,file_not_found
gcd.wasm,nameOB/gcd.wasm,shift_transformation,mut14,26610,25863,13,13,4,4,4468.87,yes,yes,70.75,ok,315.05,err,yes,yes,98.42,100.0,64,1,76,76,yes,no,no,1,yes,,file_not_found
1b-4-2-0-0-dc-2-2-0.wasm,nameOB/1b-4-2-0-0-dc-2-2-0.wasm,constant_value_splitting,mut18,26158,25392,13,13,4,4,3865.79,yes,yes,68.71,ok,128.31,err,yes,yes,99.59,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
factorialrec.wasm,nameOB/factorialrec.wasm,nop_insertion,mut9,26286,35154,13,13,4,4,6767.72,yes,yes,71.51,ok,317.42,err,yes,yes,75.36,100.0,61,1,73,73,yes,no,no,1,yes,,file_not_found
gcd.wasm,nameOB/gcd.wasm,mba_transformation,mut17,26610,27607,13,13,4,4,5545.87,yes,yes,70.75,ok,345.99,err,yes,yes,95.3,100.0,64,1,76,76,yes,no,no,1,yes,,file_not_found
gcd.wasm,nameOB/gcd.wasm,eqz_transformation,mut15,26610,26072,13,13,4,4,4362.44,yes,yes,70.75,ok,289.01,err,yes,yes,98.99,100.0,64,1,76,76,yes,no,no,1,yes,,file_not_found
prime.wasm,nameOB/prime.wasm,function_insertion,mut2,26541,70253,13,13,4,4,4689.83,yes,yes,76.4,ok,358.75,err,yes,yes,54.96,100.0,64,1,76,176,yes,no,no,1,yes,,file_not_found
1b-1-1-1-0-dc-0-0-0.wasm,nameOB/1b-1-1-1-0-dc-0-0-0.wasm,constant_value_transformation,mut19,26022,32635,13,13,4,4,4880.35,yes,yes,68.19,ok,387.06,err,yes,yes,85.4,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
gcdrec.wasm,nameOB/gcdrec.wasm,element_insertion,mut5,26459,26523,13,13,4,4,4062.03,yes,yes,77.46,ok,323.35,err,yes,yes,98.97,100.0,61,1,73,73,yes,no,no,1,yes,,file_not_found
gcdrec.wasm,nameOB/gcdrec.wasm,function_body_cloning,mut3,26459,25683,13,13,4,4,4227.5,yes,yes,77.46,ok,309.16,err,yes,yes,99.59,100.0,61,1,73,73,yes,no,no,1,yes,,file_not_found
