sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
4o3u.wasm,4o3u.wasm,mba_transformation,mut17,4863,4926,0,0,4,4,3068.49,yes,yes,20.11,ok,143.79,err,yes,yes,99.72,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,data_insertion,mut7,4863,4863,0,0,4,4,3764.63,yes,yes,20.11,ok,29.68,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,eqz_transformation,mut15,4863,4863,0,0,4,4,3627.12,yes,yes,20.11,ok,24.49,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,import_insertion,mut1,4757,4757,0,0,4,4,3437.81,yes,yes,32.86,ok,39.81,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,data_encryption,mut8,4863,5166,0,0,4,4,4175.89,yes,yes,20.11,ok,92.79,err,yes,yes,97.74,100.0,1,1,7,9,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,export_insertion,mut6,4863,7811,0,0,4,4,3970.34,yes,yes,20.11,ok,63.77,err,yes,yes,96.42,100.0,1,99,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,shift_transformation,mut14,4863,4863,0,0,4,4,3977.74,yes,yes,20.11,ok,25.26,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,data_insertion,mut7,4757,4757,0,0,4,4,3329.89,yes,yes,32.86,ok,89.59,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,element_insertion,mut5,4863,5509,0,0,4,4,4332.17,yes,yes,20.11,ok,57.55,err,yes,yes,97.19,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,element_insertion,mut5,4757,5403,0,0,4,4,3236.15,yes,yes,32.86,ok,49.77,err,yes,yes,97.16,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,global_insertion,mut4,4757,4757,0,0,4,4,3542.48,yes,yes,32.86,ok,49.8,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,shift_transformation,mut14,4757,4757,0,0,4,4,2439.07,yes,yes,32.86,ok,49.4,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,eqz_transformation,mut15,4757,4757,0,0,4,4,2717.66,yes,yes,32.86,ok,82.15,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,export_insertion,mut6,4757,7686,0,0,4,4,3676.43,yes,yes,32.86,ok,210.76,err,yes,yes,96.36,100.0,1,101,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,function_sig_insertion,mut0,4757,5969,0,0,4,4,3648.48,yes,yes,32.86,ok,178.83,err,yes,yes,94.5,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,function_body_cloning,mut3,4863,9666,0,0,4,4,3890.07,yes,yes,37.92,ok,100.21,err,yes,yes,61.39,100.0,1,1,7,14,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,function_body_cloning,mut3,4793,9528,0,0,4,4,3599.93,yes,yes,38.27,ok,88.29,err,yes,yes,63.39,100.0,1,1,7,14,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,add_sub_transformation,mut13,4828,4828,0,0,4,4,3677.69,yes,yes,38.54,ok,95.96,err,yes,yes,99.38,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,offset_expansion,mut16,4863,5796,0,0,4,4,3556.34,yes,yes,37.92,ok,73.48,err,yes,yes,87.97,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,mba_transformation,mut17,4757,4820,0,0,4,4,3014.85,yes,yes,32.86,ok,214.14,err,yes,yes,99.71,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,offset_expansion,mut16,4793,5726,0,0,4,4,3113.09,yes,yes,38.27,ok,69.8,err,yes,yes,87.88,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,direct_to_indirect,mut12,4863,4998,0,39,4,4,3932.14,yes,yes,20.11,ok,91.19,err,yes,yes,98.13,100.0,1,1,7,46,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,offset_expansion,mut16,4828,5761,0,0,4,4,3494.89,yes,yes,38.54,ok,62.68,err,yes,yes,87.92,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,function_body_cloning,mut3,4828,9597,0,0,4,4,3616.33,yes,yes,38.54,ok,75.96,err,yes,yes,66.4,100.0,1,1,7,14,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,add_sub_transformation,mut13,4863,4863,0,0,4,4,3719.76,yes,yes,37.92,ok,68.63,err,yes,yes,99.38,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,import_insertion,mut1,4828,4828,0,0,4,4,3108.34,yes,yes,16.58,ok,29.32,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,add_sub_transformation,mut13,4793,4793,0,0,4,4,3799.71,yes,yes,38.27,ok,96.94,err,yes,yes,99.38,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,function_body_cloning,mut3,4863,9666,0,0,4,4,3681.32,yes,yes,20.11,ok,92.37,err,yes,yes,65.15,100.0,1,1,7,14,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,direct_to_indirect,mut12,4757,4857,0,27,4,4,2899.68,yes,yes,32.86,ok,121.79,err,yes,yes,98.73,100.0,1,1,7,34,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,function_sig_insertion,mut0,4828,6077,0,0,4,4,3098.37,yes,yes,16.58,ok,60.15,err,yes,yes,94.45,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,data_encryption,mut8,4828,5131,0,0,4,4,2974.16,yes,yes,16.58,ok,47.38,err,yes,yes,97.73,100.0,1,1,7,9,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,element_insertion,mut5,4828,5474,0,0,4,4,3074.15,yes,yes,16.58,ok,261.76,err,yes,yes,97.18,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,data_insertion,mut7,4828,4828,0,0,4,4,2926.51,yes,yes,16.58,ok,187.6,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,global_insertion,mut4,4828,4828,0,0,4,4,3254.16,yes,yes,16.58,ok,123.02,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,export_insertion,mut6,4828,7459,0,0,4,4,3518.65,yes,yes,16.58,ok,199.01,err,yes,yes,96.6,100.0,1,101,7,7,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,shift_transformation,mut14,4828,4828,0,0,4,4,2826.06,yes,yes,16.58,ok,22.09,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
