sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
webminer_v1.wasm,webminer_v1.wasm,--cf --ca,cf_ca_71aba03a,0.888893,104666,,6,,6,,ok,missing,no_entry,,,,yes,,,,103,,20,,yes,yes,yes,0,no,,
webminer_v1.wasm,webminer_v1.wasm,--flatten --alias --name --memory --ca,flatten_alias_name_memory_ca_43a8b678,21.169508,104666,406925,6,0,6,0,ok,invalid(1),no_entry,no_entry,,,yes,no,,,103,,20,,yes,yes,yes,0,no,,
webminer_v1.wasm,webminer_v1.wasm,--flatten --alias --name --memory --cf,flatten_alias_name_memory_cf_f2c10039,1.639323,104666,121946,6,145,6,6,ok,ok,no_entry,no_entry,,,yes,yes,87.55,,103,106,20,161,yes,yes,yes,0,no,,
webminer_v1.wasm,webminer_v1.wasm,--all,all_dd8fddf8,1.605072,104666,121789,6,145,6,6,ok,ok,no_entry,no_entry,,,yes,yes,87.6,,103,105,20,161,yes,yes,yes,0,no,,
webminer_v1.wasm,webminer_v1.wasm,--all --safe,all_safe_a2924ac7,1.632737,104666,121841,6,145,6,6,ok,ok,no_entry,no_entry,,,yes,yes,87.59,,103,105,20,161,yes,yes,yes,0,no,,
8.wasm,8.wasm,--name,name_1386f914,0.920882,77572,77572,6,6,10,10,ok,ok,no_entry,no_entry,,,yes,yes,99.97,,80,80,22,22,yes,yes,yes,0,no,,
8.wasm,8.wasm,--alias,alias_2d68bdf6,0.962708,77572,77977,6,111,10,10,ok,ok,no_entry,no_entry,,,yes,yes,99.7,,80,80,22,127,yes,yes,yes,0,no,,
8.wasm,8.wasm,--memory,memory_9814495b,1.369735,77572,95572,6,6,10,10,ok,ok,no_entry,no_entry,,,yes,yes,84.54,,80,82,22,24,yes,yes,yes,0,no,,
8.wasm,8.wasm,--flatten,flatten_68639b74,1.129055,77572,96627,6,6,10,10,ok,ok,no_entry,no_entry,,,yes,yes,41.68,,80,80,22,22,yes,yes,yes,0,no,,
8.wasm,8.wasm,--flatten --alias,flatten_alias_0b788e1c,1.221017,77572,97022,6,111,10,10,ok,ok,no_entry,no_entry,,,yes,yes,42.67,,80,80,22,127,yes,yes,yes,0,no,,
