sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,function_sig_insertion,mut0,50791,46250,20,20,4,4,4992.64,yes,yes,60061.03,ok,267.52,err,yes,yes,94.81,100.0,86,1,105,105,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,function_body_cloning,mut3,50791,45101,20,20,4,4,4776.92,yes,yes,60061.03,ok,266.04,err,yes,yes,99.54,100.0,86,1,105,105,yes,yes,yes,0,no,,
list_test_removeAt.wasm,list/list_test_removeAt.wasm,constant_value_transformation,mut19,52842,60079,21,21,4,4,5462.18,yes,yes,60061.18,ok,253.07,err,yes,yes,85.48,100.0,94,1,114,114,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,element_insertion,mut5,50791,45941,20,20,4,4,5144.24,yes,yes,60061.03,ok,286.2,err,yes,yes,99.17,100.0,86,1,105,105,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,global_insertion,mut4,50791,46059,20,20,4,4,4969.22,yes,yes,60061.03,ok,271.84,err,yes,yes,99.11,100.0,86,1,105,105,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,export_insertion,mut6,50791,47949,20,20,4,4,5913.28,yes,yes,60061.03,ok,251.05,err,yes,yes,99.17,100.0,86,101,105,105,yes,yes,yes,0,no,,
list_test_addAllAt.wasm,list/list_test_addAllAt.wasm,mba_transformation,mut17,54401,51322,23,23,4,4,5680.06,yes,yes,60061.05,ok,257.0,err,yes,yes,95.47,100.0,96,1,118,118,yes,yes,yes,0,no,,
list_test_addAllAt.wasm,list/list_test_addAllAt.wasm,shift_transformation,mut14,54401,48477,23,23,4,4,5176.76,yes,yes,60061.05,ok,257.62,err,yes,yes,97.0,100.0,96,1,118,118,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,direct_to_indirect,mut12,50791,46084,20,294,4,4,5693.48,yes,yes,60061.03,ok,366.28,err,yes,yes,98.4,100.0,86,1,105,379,yes,yes,yes,0,no,,
list_test_addAllAt.wasm,list/list_test_addAllAt.wasm,add_sub_transformation,mut13,54401,48248,23,23,4,4,5357.85,yes,yes,60061.05,ok,236.86,err,yes,yes,99.28,100.0,96,1,118,118,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,data_insertion,mut7,51662,214196,20,20,4,4,6614.49,yes,yes,60060.97,ok,254.01,err,yes,yes,81.92,100.0,87,1,106,106,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,constant_value_splitting,mut18,50791,45101,20,20,4,4,4870.85,yes,yes,60061.03,ok,84.27,err,yes,yes,99.54,100.0,86,1,105,105,yes,yes,yes,0,no,,
list_test_addAllAt.wasm,list/list_test_addAllAt.wasm,eqz_transformation,mut15,54401,48703,23,23,4,4,4698.66,yes,yes,60061.05,ok,284.02,err,yes,yes,98.86,100.0,96,1,118,118,yes,yes,yes,0,no,,
list_test_sublist.wasm,list/list_test_sublist.wasm,nop_insertion,mut9,53069,65554,22,22,4,4,10355.58,yes,yes,60061.0,ok,266.59,err,yes,yes,75.51,100.0,94,1,115,115,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,function_insertion,mut2,50791,74680,20,20,4,4,4832.18,yes,yes,60061.03,ok,337.88,err,yes,yes,59.02,100.0,86,1,105,205,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,import_insertion,mut1,51662,48381,20,20,4,4,5154.13,yes,yes,60060.97,ok,257.21,err,yes,yes,99.02,100.0,87,1,106,204,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,data_encryption,mut8,51662,46664,20,20,4,13,5706.17,yes,yes,60060.97,ok,218.15,err,yes,yes,98.29,100.0,87,1,106,108,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,function_sig_insertion,mut0,51662,47100,20,20,4,4,4937.57,yes,yes,60060.97,ok,276.3,err,yes,yes,94.2,100.0,87,1,106,106,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,shift_transformation,mut14,50791,45331,20,20,4,4,4970.26,yes,yes,60061.03,ok,273.53,err,yes,yes,97.03,100.0,86,1,105,105,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,mba_transformation,mut17,50791,48190,20,20,4,4,5176.68,yes,yes,60061.03,ok,273.56,err,yes,yes,95.41,100.0,86,1,105,105,yes,yes,yes,0,no,,
list_test_addLast.wasm,list/list_test_addLast.wasm,opaque_predicate_insertion,mut11,50869,98190,20,20,4,4,5560.72,yes,yes,60045.49,ok,486.08,err,yes,yes,31.0,100.0,90,1,109,109,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,function_body_cloning,mut3,51662,45849,20,20,4,4,4991.9,yes,yes,60060.97,ok,277.29,err,yes,yes,99.52,100.0,87,1,106,106,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,add_sub_transformation,mut13,50791,45102,20,20,4,4,5804.56,yes,yes,60061.03,ok,269.48,err,yes,yes,99.43,100.0,86,1,105,105,yes,yes,yes,0,no,,
list_test_addAllAt.wasm,list/list_test_addAllAt.wasm,offset_expansion,mut16,54401,54899,23,23,4,4,5788.06,yes,yes,60061.05,ok,281.24,err,yes,yes,89.9,100.0,96,1,118,118,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,global_insertion,mut4,51662,46820,20,20,4,4,5061.15,yes,yes,60060.97,ok,273.25,err,yes,yes,99.1,100.0,87,1,106,106,yes,yes,yes,0,no,,
ring_buffer_test_dequeue.wasm,ring_buffer/ring_buffer_test_dequeue.wasm,eqz_transformation,mut15,50791,45527,20,20,4,4,5680.14,yes,yes,60061.03,ok,265.92,err,yes,yes,99.0,100.0,86,1,105,105,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,element_insertion,mut5,51662,46689,20,20,4,4,6077.02,yes,yes,60060.97,ok,284.21,err,yes,yes,99.16,100.0,87,1,106,106,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,export_insertion,mut6,51662,48832,20,20,4,4,5017.28,yes,yes,60060.97,ok,261.61,err,yes,yes,99.15,100.0,87,101,106,106,yes,yes,yes,0,no,,
ring_buffer_test_enqueue.wasm,ring_buffer/ring_buffer_test_enqueue.wasm,data_insertion,mut7,50443,222370,20,20,4,4,5384.71,yes,yes,60061.01,ok,206.49,err,yes,yes,80.7,100.0,85,1,104,104,yes,yes,yes,0,no,,
ring_buffer_test_capacity.wasm,ring_buffer/ring_buffer_test_capacity.wasm,direct_to_indirect,mut12,51662,46870,20,306,4,4,5062.08,yes,yes,60060.97,ok,292.35,err,yes,yes,98.36,100.0,87,1,106,392,yes,yes,yes,0,no,,
