sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
1b-1-2-2-1-eq127-0-0-0.wasm,origin/1b-1-2-2-1-eq127-0-0-0.wasm,shift_transformation,mut14,28033,25429,13,13,4,4,4551.56,yes,yes,37.87,ok,103.57,err,yes,yes,98.3,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,export_insertion,mut6,28063,28403,13,13,4,4,3847.74,yes,yes,38.29,ok,196.4,err,yes,yes,98.85,100.0,60,101,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,element_insertion,mut5,28063,26254,13,13,4,4,2825.66,yes,yes,38.29,ok,170.58,err,yes,yes,98.87,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,direct_to_indirect,mut12,28063,25940,13,168,4,4,3592.93,yes,yes,38.29,ok,78.43,err,yes,yes,98.39,100.0,60,1,72,227,yes,yes,yes,0,no,,
insertionsort.wasm,origin/insertionsort.wasm,offset_expansion,mut16,28831,29709,13,13,4,4,3647.14,yes,yes,37.06,ok,103.21,err,yes,yes,90.04,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-1-0-0-dc-1-0-0.wasm,origin/1b-1-1-0-0-dc-1-0-0.wasm,constant_value_transformation,mut19,27950,32684,13,13,4,4,3638.13,yes,yes,35.7,ok,74.18,err,yes,yes,85.49,100.0,60,1,72,72,yes,yes,yes,0,no,,
insertionsort.wasm,origin/insertionsort.wasm,function_insertion,mut2,28831,77874,13,13,4,4,4248.97,yes,yes,37.06,ok,248.42,err,yes,yes,55.03,100.0,60,1,72,172,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,function_sig_insertion,mut0,28242,26746,13,13,4,4,3606.14,yes,yes,36.87,ok,217.32,err,yes,yes,98.49,100.0,61,1,73,73,yes,yes,yes,0,no,,
1b-1-2-2-1-eq127-0-0-0.wasm,origin/1b-1-2-2-1-eq127-0-0-0.wasm,add_sub_transformation,mut13,28033,25371,13,13,4,4,3871.93,yes,yes,37.87,ok,113.52,err,yes,yes,99.32,100.0,60,1,72,72,yes,yes,yes,0,no,,
rshash.wasm,origin/rshash.wasm,data_insertion,mut7,28242,157899,13,13,4,4,4028.27,yes,yes,36.87,ok,188.95,err,yes,yes,78.01,100.0,61,1,73,73,yes,yes,yes,0,no,,
1b-4-2-1-1-gt127-1-1-0.wasm,origin/1b-4-2-1-1-gt127-1-1-0.wasm,offset_expansion,mut16,28080,28798,13,13,4,4,3679.24,yes,yes,38.13,ok,76.01,err,yes,yes,89.94,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-2-1-eq127-0-0-0.wasm,origin/1b-1-2-2-1-eq127-0-0-0.wasm,mba_transformation,mut17,28033,27187,13,13,4,4,4127.51,yes,yes,37.87,ok,204.04,err,yes,yes,95.17,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,origin/1b-1-2-1-1-eqsum127_dep-1-0-1.wasm,constant_value_splitting,mut18,28063,25414,13,13,4,4,4558.75,yes,yes,38.29,ok,94.42,err,yes,yes,99.5,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-2-1-eq127-0-0-0.wasm,origin/1b-1-2-2-1-eq127-0-0-0.wasm,eqz_transformation,mut15,28033,25636,13,13,4,4,3572.27,yes,yes,37.87,ok,82.77,err,yes,yes,98.9,100.0,60,1,72,72,yes,yes,yes,0,no,,
